Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
79,tt0118694,2023-07-25,2023-07-25,,Fa yeung nin wah,https://www.imdb.com/title/tt0118694/,movie,8.1,98,2000,"Drama, Romance",158340,2000-05-20,Kar-Wai Wong,,
80,tt0110081,2023-07-25,2023-07-25,,Huo zhe,https://www.imdb.com/title/tt0110081/,movie,8.3,133,1994,"Drama, War",19512,1994-05-17,Yimou Zhang,,
81,tt0104684,2023-07-25,2023-07-25,,Lat sau san taam,https://www.imdb.com/title/tt0104684/,movie,7.7,128,1992,"Action, Crime, Thriller",52447,1992-03-21,John Woo,,
82,tt1533117,2023-07-25,2023-07-25,,Rang zi dan fei,https://www.imdb.com/title/tt1533117/,movie,7.3,132,2010,"Action, Comedy, Drama, Western",12477,2010-12-16,Wen Jiang,,
83,tt0212712,2023-07-25,2023-07-25,,2046,https://www.imdb.com/title/tt0212712/,movie,7.4,129,2004,"Drama, Romance, Sci-Fi",59907,2004-05-20,Kar-Wai Wong,,
84,tt0808357,2023-07-25,2023-07-25,,"Se, jie",https://www.imdb.com/title/tt0808357/,movie,7.5,157,2007,"Drama, History, Romance, Thriller, War",43961,2007-08-30,Ang Lee,,
85,tt0071075,2023-07-25,2023-07-25,,The World at War,https://www.imdb.com/title/tt0071075/,tvSeries,9.2,52,1973,"Documentary, History, War",27110,1973-09-14,,,
86,tt0112740,2023-07-25,2023-07-25,,Crimson Tide,https://www.imdb.com/title/tt0112740/,movie,7.3,116,1995,"Action, Drama, Thriller, War",118559,1995-04-01,Tony Scott,,
87,tt0418689,2023-07-25,2023-07-25,,Flags of Our Fathers,https://www.imdb.com/title/tt0418689/,movie,7.1,135,2006,"Action, Adventure, Drama, History, War",126733,2006-10-09,Clint Eastwood,,
88,tt4065552,2023-07-25,2023-07-25,,Tuntematon sotilas,https://www.imdb.com/title/tt4065552/,movie,7.7,180,2017,"Drama, War",12145,2017-10-27,Aku Louhimies,,
